submitter_id.samples,mir_vae_1,mir_vae_2,mir_vae_3,mir_vae_4,mir_vae_5,mir_vae_6,mir_vae_7,mir_vae_8,mir_vae_9,mir_vae_10,mir_vae_11,mir_vae_12,mir_vae_13,mir_vae_14,mir_vae_15,mir_vae_16,mir_vae_17,mir_vae_18,mir_vae_19,mir_vae_20,mir_vae_21,mir_vae_22,mir_vae_23,mir_vae_24,mir_vae_25,mir_vae_26,mir_vae_27,mir_vae_28,mir_vae_29,mir_vae_30,mir_vae_31,mir_vae_32,label_mir
TCGA-EW-A1J6-01,-0.9439382,0.18434912,-0.14387296,-2.4615047,-0.9739911,-1.409557,-0.6910189,0.37904787,-1.5702574,0.16048259,1.3172708,-1.2968537,-0.63556474,1.0762924,-0.13206825,0.96296155,0.38473418,0.24932298,0.64324284,1.8336034,1.0665176,-0.7157546,-0.737379,2.0612528,1.1044998,-2.0484886,-1.3147987,0.4371245,0.39441207,0.6346142,-0.42426983,-0.35819584,1
TCGA-EW-A1OV-01,0.07077392,0.07206694,1.2401611,-0.5869821,-1.2414547,0.59164965,1.7207047,2.365207,-0.7798605,-1.1674458,0.09684393,0.5462571,0.73173773,0.72468835,0.47656205,0.726393,-0.29099345,-0.046886243,0.22040659,1.6468132,0.4921699,-0.9528023,-1.2926853,3.0787847,-0.7107272,-1.0210053,0.1408704,-0.26220793,0.038162492,-1.5386277,0.59780914,-1.3421042,1
TCGA-EW-A1OW-01,-0.9605973,1.3446796,0.16159154,-1.02191,-1.0855831,-1.5255314,-0.18775097,-0.09092792,-0.654119,0.5799857,-0.7565107,0.78968036,1.0698643,-0.30244252,0.08659304,-0.20347117,-2.1222699,2.1652417,0.34029806,1.0148168,0.32334977,1.7355822,-1.0621877,-1.2983415,1.5146279,0.047545165,1.4148246,1.0098767,-0.6303271,-0.89097345,0.34326488,0.75008607,1
TCGA-EW-A1OX-01,0.7820893,-1.3532674,0.9815648,0.26189935,-0.0011267039,-2.1027184,1.4442961,-0.88330334,-0.2944721,1.051748,-0.697144,-2.0700753,0.29389966,-2.3732414,0.43287185,0.5500838,0.45034787,0.7898887,1.5169194,-0.7362938,0.47333091,-0.15037692,0.27922177,-0.91133463,0.41716582,1.9885556,0.37817007,-1.2610276,-0.47535098,0.9687302,-1.6693045,0.2704152,1
TCGA-EW-A1OY-01,0.030411668,2.2604856,-2.1171446,0.98728573,0.1676085,0.9379176,-0.9825335,-1.8258691,0.85294837,0.13864078,0.067356974,-0.037566055,-1.9645278,1.3215392,-1.1353225,0.8377593,2.7012975,1.1765109,0.5338971,0.5853278,0.38939813,0.8528377,0.110442534,0.35813555,-0.26052243,0.4722134,0.6332802,1.3182585,-1.1863421,-0.2876738,-0.043083876,0.4476269,1
TCGA-EW-A1OZ-01,1.1009007,1.7939473,1.1311206,0.71631426,0.5709537,-0.99216855,0.38536987,0.23614554,0.97266906,0.026956154,-0.19332188,-1.2720841,1.0440865,-0.6140888,1.7042291,-1.6341387,-0.5084168,0.32853433,0.8109151,0.86675143,-0.70543456,-1.1232538,0.95797974,1.750577,0.3193986,0.7959191,-0.2150887,1.6182579,-1.0558462,0.39734948,-0.2219304,-0.4613292,1
TCGA-EW-A1P0-01,-0.21291383,-1.6577623,2.3605225,-0.5556468,1.6140004,0.5436695,-1.0780718,1.1803846,-2.042206,1.1521231,-1.2799323,0.8026488,-0.7122502,0.5708511,-0.39004993,3.4582684,0.1972245,-0.15048338,-0.9868945,0.4128898,2.4656494,-0.29933685,-0.97853947,-0.19692437,0.57333195,0.53867835,0.5437015,-1.0075334,0.067192055,3.0108154,-0.80165255,0.59942883,1
TCGA-EW-A1P1-01,-1.4543384,-0.91794515,-0.33310357,0.15610017,-0.06976123,-2.3925993,-1.4601753,0.42195275,1.0960488,-1.3565632,1.7639692,0.58911914,-1.5267868,0.4256044,-1.1318974,0.5409833,1.0588081,0.545915,-0.07218214,-0.5901877,-0.31061548,-0.8452773,-0.29937798,-0.5300951,-0.97085553,0.6873539,0.79220873,0.06464608,-0.12432364,1.0011793,1.1561702,-0.13828364,1
TCGA-EW-A1P3-01,-0.508323,0.013867695,1.6602758,0.39226344,-1.1907306,0.96823215,0.57701474,-0.48157638,1.7085701,-0.069387734,-1.2173986,-1.286005,0.17221996,-0.14801037,1.333993,1.3010948,0.81177783,-1.08858,0.007677903,-0.9695411,0.769913,0.47422832,0.096267834,0.9006802,-0.72055626,-0.91977453,-1.0691012,0.7117499,0.6762291,-1.147991,0.26472718,-0.7721814,1
TCGA-EW-A1P4-01,0.45109707,0.17420425,-0.7907018,-0.047052596,0.5184542,-0.9161032,1.0550354,-1.0700245,0.7765839,0.13836713,-0.86700475,-1.9892063,1.3270212,-0.6194059,0.6505937,-0.074151345,0.2770011,0.36718687,-0.94826746,1.5378243,0.48840016,0.2345258,-0.07221493,1.1972392,-0.18120918,-1.1809307,0.47150573,-0.1159569,1.2974079,0.58610487,0.35392118,1.398308,1
TCGA-EW-A1P5-01,0.78482115,-2.0372567,0.5424182,-0.39780337,-1.0074447,-1.2443182,2.1551592,0.9426171,-0.62958974,-0.90089345,-0.22203486,0.14237505,-0.083672345,-0.4340733,-1.2134466,-0.7229206,0.75036687,0.925112,0.14707325,-2.078927,1.7777723,2.2752707,2.6280227,0.40282014,-0.41542706,-0.31366462,0.16909012,0.319018,-0.3070969,-2.8077025,0.11406554,1.7902296,1
TCGA-EW-A1P6-01,0.23966435,-0.6591519,-0.27768996,-0.6721825,0.41827807,-1.0686609,-0.36265245,-1.7315344,0.4434837,-0.63198614,-0.42675132,-0.47294542,0.7732218,0.35323083,-0.23271483,2.403433,-0.7984352,1.396507,0.25201032,0.5573238,0.84124935,-2.06835,0.61091805,0.32662788,0.24870394,0.37324858,-0.06632947,0.9160197,0.5355488,0.4959582,-0.37018672,-0.10563384,1
TCGA-EW-A1P7-01,-0.43351728,0.91124547,-1.4513679,0.5265378,0.17108572,-1.4366001,-0.11823207,0.86587137,-2.0736446,-0.95384675,-1.856196,-0.53477806,-0.019452194,0.9706796,2.4656022,1.7806283,0.35239726,0.0065895733,0.5589111,-0.23809046,0.70265144,-0.27819017,-0.69638276,-0.6883098,1.4124388,0.2657717,0.2839253,-0.69137084,0.59244394,-1.032575,-1.7436211,0.39956117,1
TCGA-EW-A1P8-01,0.18638311,-1.786743,0.52083147,-0.75754607,0.1690245,-1.0937178,0.31919396,0.26892972,1.4783647,0.41552803,-0.12680826,-2.2170973,0.43551546,-0.773815,1.4819453,-0.01669251,-1.1374749,0.7762111,0.74745286,0.22930066,0.5217196,-1.4204545,1.4597217,1.1888485,0.14625762,1.3559448,-0.20278978,0.41228366,-1.3166107,-1.1436846,0.4041695,-0.22382443,1
TCGA-EW-A1PA-01,0.30688775,0.44896895,-1.5772499,-1.668447,-0.89329255,-0.476788,0.56865084,-0.6857871,-0.7856095,-0.33408293,-0.4076872,0.70174426,-0.47664756,-1.0513158,-0.69117486,-0.17889303,-0.984429,-1.2965392,-0.6523498,0.092694625,1.1123925,-0.5655426,0.81316006,-1.6211734,0.22446594,-0.18407904,0.43776137,1.4054997,-0.4588502,-0.18024917,0.48494992,-3.0662925,1
TCGA-EW-A1PB-01,0.4556685,1.9085523,0.02657196,0.6231111,-1.1585945,-0.42084816,0.56449634,-0.07227211,-0.6459526,2.454884,0.64158267,-1.6666443,-0.17883985,-1.3591181,-3.2852736,1.9794724,-0.45606798,-0.76733863,0.66154814,-1.0410575,-1.4730406,1.899842,0.7976335,0.3346864,-0.18427247,1.1865649,-0.68567866,1.2508167,0.33086956,1.2642204,-1.3843777,0.311138,1
TCGA-EW-A1PC-01,1.1658202,-1.0789579,-0.18674468,-0.82183653,0.13509297,-0.6361248,-1.3116544,0.29929256,-1.758576,0.3210901,1.5269066,-1.1846801,-0.7793787,1.106579,1.5495726,-0.8191987,-0.9363876,-0.39099407,-0.91363716,0.10660479,0.19306949,0.6100976,-1.0822238,0.89189327,1.0256647,-1.4817024,-0.14577453,-2.0119772,-0.30468628,-0.4829636,1.6370802,0.12842152,1
