submitter_id.samples,wsi_vae_1,wsi_vae_2,wsi_vae_3,wsi_vae_4,wsi_vae_5,wsi_vae_6,wsi_vae_7,wsi_vae_8,wsi_vae_9,wsi_vae_10,wsi_vae_11,wsi_vae_12,wsi_vae_13,wsi_vae_14,wsi_vae_15,wsi_vae_16,wsi_vae_17,wsi_vae_18,wsi_vae_19,wsi_vae_20,wsi_vae_21,wsi_vae_22,wsi_vae_23,wsi_vae_24,wsi_vae_25,wsi_vae_26,wsi_vae_27,wsi_vae_28,wsi_vae_29,wsi_vae_30,wsi_vae_31,wsi_vae_32,label_wsi
TCGA-A2-A1FZ-01,-0.52060455,-0.43864375,0.42278346,-2.3638225,1.1477417,0.80744934,0.7257789,-0.63451654,0.3016439,0.61192524,0.55664986,-1.7946838,1.1914489,0.8289994,0.14259095,0.6518931,-0.33901453,-0.9224063,0.73308617,0.9943943,-1.0107212,-0.7399676,0.99364734,-0.10918831,-1.6492786,0.5692408,-1.9508865,-0.7372216,-0.15816426,-0.37476036,1.888792,0.16983609,1
TCGA-A2-A1G0-01,2.249382,0.49495423,-0.77423865,-1.0794722,1.3890111,-0.025964854,0.14088272,-0.9868871,-1.3253949,1.1511768,-1.0596,-2.549107,0.3119686,0.021879284,-0.27470592,-0.47909063,0.43071643,0.7649238,-0.74527144,-1.499065,-0.4396775,0.5826856,0.53928965,2.2904775,-0.43628338,-1.6773471,-0.70035654,-0.8059297,-0.16587375,0.12635368,0.14130938,2.5072293,1
TCGA-A2-A1G1-01,-0.09294125,2.195586,-0.42859134,-0.37952206,-0.5494573,1.6292248,0.23747715,0.122917905,0.011050417,0.17553599,0.34681857,0.69462585,1.5432805,-0.8140681,-0.81651384,0.013832943,2.5437396,0.8790647,-1.3144847,1.3854785,-0.36314607,-0.5246197,-2.2983382,0.012677895,-1.1105826,0.42242575,-0.20357648,-1.4520612,-0.6458382,-1.2086858,-0.4315641,-1.6995636,1
TCGA-A2-A1G4-01,0.40576196,1.1641006,-0.37262055,-0.034560945,0.55381095,0.6161024,0.85582453,-0.7869091,1.7672557,-0.58832246,0.85705006,-0.44092956,-0.19090727,-0.4291416,1.8263116,-1.1887798,1.8049659,-0.59019506,-0.30834058,2.2242286,0.7689979,0.5932295,1.6872033,-1.5635434,-1.386025,-1.1468569,-0.43280026,-1.1175853,-1.2879633,0.15131629,-0.89023036,-0.07962649,1
TCGA-A2-A1G6-01,-0.047189217,-1.1969491,0.05504419,0.5300071,-1.1619167,0.6454616,-0.93204606,0.12076031,0.7270983,0.4799672,-0.59152246,-2.4864032,-0.9375069,0.4124957,-0.9232067,0.24716225,0.2775644,-0.5593784,-1.056096,0.32400775,0.38376313,-2.2769127,-0.056614116,0.37370324,-1.1583809,0.34285086,0.7564511,0.7706343,0.9284382,-0.15099767,0.48437068,0.60972965,1
TCGA-A2-A259-01,-0.3198614,0.958711,0.0016114716,-0.42120716,-1.8386213,-0.0073537743,0.50776696,-0.37473062,-0.28957433,0.034471277,0.9537534,-0.08384163,-0.18011737,0.80955577,-0.69784284,-0.95274734,-2.9796453,0.4753537,0.8185457,-0.4585996,1.5895202,-1.833376,-1.1722252,0.1009921,0.53035617,-1.1118813,0.4025665,0.09069702,-0.6210518,-0.03895201,-1.2189153,-0.44065276,1
TCGA-A2-A25A-01,1.6865208,-0.03779224,0.11581621,-0.41588345,-0.23861308,-1.1729554,1.0231595,-0.5978114,0.93259716,-1.1491722,-0.7891563,2.0218456,-0.8755517,0.079514906,-0.8870181,0.15087551,-1.0888083,0.5916921,0.25766233,-0.5703464,-0.43899596,-1.0672715,0.17141977,-0.8451839,0.29848102,0.122068256,0.7213876,0.5984286,-1.2040383,0.85852575,-0.24371648,0.1707958,0
TCGA-A2-A25B-01,1.1345851,-0.27315855,-0.192357,0.6536227,2.0010412,0.18859012,2.0346098,-1.6998235,-0.29735437,-0.16981545,-0.1389351,0.5610435,-1.3760273,3.238685,0.045762535,0.65306056,0.43980503,0.233596,-0.49200493,-0.8931037,-1.6077899,-0.4964348,-1.0617713,0.91347796,0.5654201,0.97697943,-0.021223377,0.44626462,-1.3330731,0.7011735,-1.1261171,0.68643415,1
TCGA-A2-A25C-01,0.9800816,-0.6212296,-0.37025574,-1.449825,1.0630537,-0.88406026,0.44009084,0.55789596,0.69922876,-1.1240009,-0.5681101,-0.19708003,0.08573595,0.66419476,0.45071483,-0.11462215,0.4926689,-0.4707281,-0.4120915,-1.450275,-0.10093507,0.5960362,-0.27641243,-2.1661394,0.72343934,1.3400464,-0.30901554,-1.0409993,0.672318,-0.6874728,-0.76924396,0.26143238,1
TCGA-A2-A25D-01,-1.7492528,-0.5305517,-0.7429661,-1.7257603,-0.10817424,1.3137236,0.44849658,0.46683204,1.6787535,1.0595574,-0.38317624,-1.5918337,-1.3500575,0.55668485,-0.83116657,-0.461379,1.077203,1.7013515,-2.84492,0.8682906,-1.2081686,-0.5129456,-0.07023812,0.47036183,0.585495,-1.3966496,-0.09508889,-1.4691492,-0.98789024,-0.5817036,0.5757374,-0.72293043,1
TCGA-A2-A25E-01,0.82886934,-0.03500309,0.083872646,0.13807976,0.28041357,0.069353394,-1.0084147,-0.5914411,-0.13204822,1.5246528,-1.2302591,-0.45085138,0.6920903,-2.3794918,-1.864985,-0.02148785,-1.5426948,1.3059963,1.3176895,-1.1160089,-0.17651196,0.45847067,-0.08782385,1.8370566,0.12634736,-1.4628606,0.60135585,-1.1725578,0.16558592,-0.8386081,1.3065875,0.2834472,0
TCGA-A2-A25F-01,1.9510914,-0.75602585,-0.36645326,-1.521713,0.46885335,0.2290064,-0.15487528,-0.8766094,-0.6151469,-0.74246067,0.31280005,0.63339645,0.6044531,0.5786111,0.849829,0.2268652,1.0289578,1.5375589,-0.034639504,0.36302513,-0.60197407,-0.831773,-0.6135841,-1.4934058,0.53538394,-0.22247176,0.20584995,0.21732496,0.3884567,0.022789715,-0.44540945,-1.3340641,1
TCGA-A2-A3KC-01,0.3580634,-0.07219341,-0.5579033,1.064426,-0.17719503,1.9358996,0.763718,1.3043615,0.2372996,-0.47222024,-0.3739534,1.2620051,0.32013264,0.37436604,-1.433884,-1.4170085,0.19957636,0.5336779,0.86117357,0.42651698,2.3679717,-2.0153642,1.6295757,0.11755608,-0.2590211,0.059111346,-2.153697,-1.5875834,-0.06948029,-0.67620635,-0.46905702,-1.2896361,1
TCGA-A2-A3KD-01,0.31893244,-2.457981,-1.3349305,-0.78177613,1.2072935,0.6825642,-0.017872084,-2.7718918,0.84111047,-0.48193064,0.5754109,-1.5123471,0.3967268,0.96835184,0.36414298,-0.46138316,-1.3452768,0.7472828,-1.6043789,0.2873242,-0.4051084,1.4183931,-0.60058826,0.23400398,-2.0280383,-1.2238135,-1.1397656,-0.9274252,-1.0665256,1.3429981,-1.3487983,0.601169,1
TCGA-A2-A3XS-01,0.945665,-1.3214475,0.32477212,1.4918708,-0.76271695,0.7278841,-0.83641595,-0.5013299,0.50709176,-2.1931639,1.1612397,0.14926766,-0.37371373,0.5525583,-0.11723414,-0.43767503,0.30142656,-0.5381823,-0.47765037,-0.51840657,-2.2984443,0.7895496,0.65819985,0.632612,-1.270623,0.33986008,-2.0509193,0.8723574,0.002121633,-0.68184906,-0.62766564,0.11899552,1
TCGA-A2-A3XT-01,0.26031172,-2.0623746,-1.9658923,0.5989742,1.7816148,-0.80550194,-1.7178288,-1.3175259,0.4533064,-0.14084347,-1.3715509,1.2248102,-1.1312265,-0.34659335,-0.37920302,0.94612366,0.69262147,-0.62253153,0.27591604,0.83515114,0.5791713,-0.86213934,-0.07756972,-0.0777597,1.0165434,0.21443313,-0.25026208,-0.5838336,0.7554461,-0.24062674,0.79340607,-0.92446953,0
TCGA-A2-A3XU-01,-0.0031159483,1.7592146,-0.8457732,1.2828268,-0.16481888,-0.064174384,-0.8617708,-2.09777,0.14597513,2.1906226,-0.25614387,-0.5006707,-0.67846394,-0.26412416,-0.53590935,-2.3078866,0.70654726,-0.12876338,1.0866168,-0.27684918,1.7984341,-0.74847347,-0.107307225,0.19794579,0.42336023,1.5720068,-0.5853149,-0.116168536,-0.4165285,2.1678681,1.2949556,-2.2833402,1
TCGA-A2-A3XV-01,-0.0780052,0.649518,-0.3915274,-0.26639938,0.18601714,-0.38438874,-0.62719053,0.11228694,0.40119871,3.1022508,-0.84457326,-1.3504467,0.7052844,-0.9418975,-0.41407162,-0.6121918,-0.8319502,-0.8126723,-0.3702173,-0.9372779,0.22785202,-1.0871046,-0.39878505,0.48965234,0.417889,-1.0539279,-0.08073914,-1.0337915,-0.65702945,0.62172586,-1.7995399,-0.26852512,1
