submitter_id.samples,mrna_vae_1,mrna_vae_2,mrna_vae_3,mrna_vae_4,mrna_vae_5,mrna_vae_6,mrna_vae_7,mrna_vae_8,mrna_vae_9,mrna_vae_10,mrna_vae_11,mrna_vae_12,mrna_vae_13,mrna_vae_14,mrna_vae_15,mrna_vae_16,mrna_vae_17,mrna_vae_18,mrna_vae_19,mrna_vae_20,mrna_vae_21,mrna_vae_22,mrna_vae_23,mrna_vae_24,mrna_vae_25,mrna_vae_26,mrna_vae_27,mrna_vae_28,mrna_vae_29,mrna_vae_30,mrna_vae_31,mrna_vae_32,label_mrna
TCGA-GM-A2DN-01,0.22135068,1.5877597,-0.11273929,-0.5755506,-0.69569653,-0.5420928,0.08871115,-2.2231073,0.7513991,0.2566333,0.8270185,0.30514812,0.8474485,0.44972527,-0.024638848,-0.7304678,0.14810403,0.16563594,-0.36977854,-0.20554271,0.7476031,0.118646614,2.3826785,1.183408,0.7713728,-1.1172094,0.515506,-1.2124438,1.0363648,-0.46231735,-1.2414573,-1.1307956,0
TCGA-GM-A2DO-01,-0.06717679,1.0322968,-0.61222446,-0.8528892,1.1365361,-0.63355863,-1.2377719,1.2130953,-1.5073974,0.1828122,0.1981971,-1.7944849,0.6821117,2.6996841,0.9237114,-0.843237,1.9708254,1.6181425,1.4253697,-1.3571846,-0.47773087,0.15085526,-0.7291592,-1.2219265,-0.9942606,2.7494752,0.19622225,-0.7537811,0.5148058,0.26898107,1.2575237,0.10013158,0
TCGA-GM-A3NW-01,-0.29277802,-0.0041841576,0.69779587,1.5080837,-0.97085106,1.1264734,0.5142474,0.19369796,-0.01853149,-0.9946118,0.4429776,0.9015254,-0.48360443,-0.8370326,0.113396764,0.76206297,0.9201595,-1.2627543,0.49309394,-0.6493895,0.081094585,-1.0222709,-1.0687047,-1.8798912,-0.69612765,0.7271672,0.46485084,0.44432598,-0.4298575,0.7982091,2.1813731,-0.8223043,0
TCGA-GM-A3NY-01,2.2624955,-0.9686784,0.39488566,0.39505556,1.1076752,0.5951693,-0.17631714,0.72856945,1.028999,0.042455964,2.090379,0.24124491,0.4146173,-0.40469337,0.46321318,-1.5416015,0.47265825,-0.08801026,1.0164561,-0.43371794,-0.14727904,-2.3149579,0.27120438,-1.7411282,1.0663439,1.2633408,-0.27090597,-0.49944907,0.64543,1.8283478,-0.3379054,-0.6387714,1
TCGA-GM-A3XG-01,-0.23719463,-0.31381404,2.4728477,-0.49540094,-1.1653436,1.1815251,-1.1964468,0.34434244,0.29480854,-1.6102154,1.0774367,-0.12943254,-0.63008267,-0.84683025,-0.5894725,-0.40547913,1.0086865,-0.13692804,-0.11220879,-0.13337156,-0.37470585,-0.9007007,-0.5399365,-0.02916266,0.7805237,-0.69860834,1.04649,-0.0021413136,-0.17131837,1.6419225,0.9154807,-0.2834443,1
TCGA-GM-A3XL-01,0.20928572,0.3229941,0.25695777,-1.3842652,0.65594083,-0.91957426,1.1766812,1.3608253,0.23045243,0.116211765,0.63958234,-0.4376665,-1.4291484,0.13625553,-0.4308258,-0.24247104,-0.5480106,0.9839983,-0.4044987,-0.5510337,-1.6112638,-0.4204092,-0.84781796,0.43819356,0.08716488,-1.3612595,-0.11207696,0.07864186,0.8592171,0.026831657,-0.84897745,-0.8891362,0
TCGA-GM-A3XN-01,1.570023,0.111689344,-0.6575796,-0.8519191,-0.71089417,-0.40658778,-0.63538986,0.38105452,0.22973867,-0.27359876,0.50295883,0.37663707,-0.38903457,0.27906835,0.27063513,-0.3226621,-0.5806401,-0.52168065,1.118695,-1.9552159,0.13396841,0.27259302,0.7064954,-0.5658837,0.37409276,1.2760789,1.0698767,2.1177995,-0.4007997,0.64136964,-0.9736727,1.4499286,0
TCGA-GM-A4E0-01,0.1448006,-0.70957756,0.24831074,-0.001751659,-0.852726,-0.78205556,-1.0857162,-1.375199,-0.47541928,-1.7839823,-0.3623106,0.64289236,-1.0480618,-0.40902346,0.805079,0.49735567,2.2850397,0.65649045,1.4733697,-1.6893939,-0.4812053,0.44039506,-0.32517964,0.2741917,-0.36366713,-0.701084,-0.25292817,-0.04978811,0.45458394,-1.2428298,-0.35789928,-0.9928854,0
TCGA-GM-A5PV-01,-1.947289,0.69480187,-0.048688117,-0.45066792,-0.56910294,-0.14643097,0.8236451,-0.5087952,-0.30464852,-0.99790514,-1.472592,0.5078844,-0.34596348,-0.034594562,-0.83170915,-1.5096042,-0.31934002,-0.5949556,-0.6240462,-1.4183363,1.5233159,1.0702703,-1.194685,-1.2895586,-0.76303077,1.6049429,-1.0549719,1.2159768,-1.0125532,0.6464609,0.020430109,-0.66430515,1
TCGA-GM-A5PX-01,-0.4301232,0.12140552,-1.2839029,1.0625397,0.23163925,-0.59670013,1.8413284,-0.30215326,-0.08634963,0.63345385,-1.3712223,0.34196854,-1.1580305,-1.2660546,-1.6353714,-0.14324994,0.022890432,1.1095773,-1.3541361,0.19613838,3.0411868,2.060211,0.41598716,-1.2613208,-0.7907031,-0.32307082,-0.02893114,1.2914214,0.6269891,-1.5402706,-0.2629168,-0.68312335,1
