submitter_id.samples,cnv_vae_1,cnv_vae_2,cnv_vae_3,cnv_vae_4,cnv_vae_5,cnv_vae_6,cnv_vae_7,cnv_vae_8,cnv_vae_9,cnv_vae_10,cnv_vae_11,cnv_vae_12,cnv_vae_13,cnv_vae_14,cnv_vae_15,cnv_vae_16,cnv_vae_17,cnv_vae_18,cnv_vae_19,cnv_vae_20,cnv_vae_21,cnv_vae_22,cnv_vae_23,cnv_vae_24,cnv_vae_25,cnv_vae_26,cnv_vae_27,cnv_vae_28,cnv_vae_29,cnv_vae_30,cnv_vae_31,cnv_vae_32,label_cnv
TCGA-A1-A0SH-01,0.46937513,1.4894663,-0.0076287026,0.3688236,-0.19657184,0.037747547,-0.94948936,0.29626024,-0.0582305,-0.31014383,-0.66247594,-1.0654633,0.17040029,-0.1327065,0.18601373,-0.18138903,-0.16922256,-1.0984421,-0.20023823,-0.50896436,-0.32101625,1.5374873,-0.91496545,0.36784762,1.886528,-0.3755347,1.6034784,-1.0719182,0.58264196,-0.09250049,0.9057704,0.9238656,1
TCGA-A1-A0SI-01,0.7958934,0.40910542,0.084827825,-0.80350727,1.3456513,-0.7137025,0.97050273,0.9434924,-0.6008002,-1.2219536,0.2243927,-1.67857,0.40532312,-1.3239112,-0.099468045,-0.09206114,0.077774644,1.2722862,-1.7927268,-1.8115147,0.3419399,-1.0057334,0.4542907,0.27365243,-0.80207276,1.8282818,-0.9448675,0.46730095,-0.20549357,0.02812396,-0.8257645,-0.68660676,1
TCGA-A1-A0SJ-01,0.37000778,-0.82820255,0.4317409,-1.1799138,-0.35973927,-1.0010914,-1.9167644,0.22679278,-1.3948708,0.9554231,0.5755068,0.2584465,0.50118583,0.7608189,0.10011615,-0.2431688,0.62215567,0.5096254,-0.7993696,-0.87589574,-1.2629573,0.13381131,0.06305824,-0.16424394,0.9281376,-0.22449559,2.4343653,-0.8406742,0.122103944,-1.0252436,-0.7301885,1.1964024,1
TCGA-A1-A0SK-01,1.3667771,-1.2371612,-0.29247728,-0.02888082,1.1204169,2.2272182,-1.6947036,0.12993702,-1.5440143,2.163256,0.3584971,-0.64528924,0.15287103,1.2711867,1.9506222,0.46749547,-0.8573142,0.84954286,1.1257048,0.18149698,-0.14688829,1.1480376,-0.29860598,-0.03185761,0.31791112,0.26604295,-0.9734022,-0.55532926,-0.81374747,-1.4130888,0.26454496,0.52081454,1
TCGA-A1-A0SM-01,-0.19723335,0.35627255,0.7364322,-0.5867778,0.62435,-0.61965716,-0.59259933,-2.472648,-1.0016028,0.9701401,-0.65631247,0.86004305,-0.16502154,0.85364723,0.7052031,-1.0798476,2.0251756,-1.1530603,-1.3266512,-1.170069,0.11999945,-1.3071085,-2.0222633,1.405404,-0.92079574,-0.06928424,1.559264,-0.30799648,-1.5724728,-0.40181828,-1.1396585,-1.076746,1
TCGA-A1-A0SN-01,1.8511865,0.76296794,-0.32459587,1.4753097,0.57086545,-0.035636887,0.9792243,-0.31845278,0.14795914,0.51448137,0.95272803,-0.22975245,0.046221133,-0.62725735,-0.2995087,-0.71148735,-0.8301483,-1.131479,-1.0985595,1.5423019,-1.4021349,0.6218602,-0.8064411,-1.3964475,-0.6182699,0.72328925,0.7711036,1.7997775,-2.1120012,1.1208354,1.2859187,-0.18203488,1
TCGA-A1-A0SO-01,1.6256132,0.003890168,-1.5230827,-0.22753765,-1.1811088,0.06142871,1.6642982,1.9345759,1.243608,0.5774496,-1.0729493,2.2894323,-0.24653432,0.34897268,1.019262,1.0387267,-0.69462496,0.21797808,0.71620643,0.8893072,1.4030633,1.0283452,0.6180104,-0.8103176,0.44216672,1.8863304,0.45842963,-0.46927494,0.16454768,3.8695667,0.84203494,-1.3224593,1
TCGA-A1-A0SP-01,-0.49189347,0.8141793,2.0881443,-0.07947156,0.25328612,0.22221382,0.916007,0.20809461,-0.12441246,0.092666075,0.031347927,-1.7668799,-0.38322315,0.7860726,-3.3206205,0.073090464,0.05802613,-1.3940775,-2.907566,-2.045977,-0.92001706,-0.96780807,1.0367621,0.848458,-0.6175117,-1.1657832,-1.7243965,0.8144652,0.48742542,0.07609693,-0.5636192,0.68291944,1
TCGA-A1-A0SQ-01,-0.47080842,-0.5916478,0.40940577,1.0879586,0.32304528,-1.9744726,0.14618881,-1.3614986,0.62972504,0.95799553,-1.4090426,-1.1193296,1.5153751,-0.8201005,-1.4626299,0.4455334,1.243287,0.66938114,0.3155523,-1.3521403,0.18347031,-0.34638038,-0.24391143,-1.3852948,-0.73451215,-0.13088053,0.9255468,-1.005907,0.44675177,0.7053607,-1.4299204,-1.4268649,1
TCGA-A2-A04N-01,0.48335806,-1.0799072,1.6628909,2.3107426,-1.3202372,0.23628642,-0.64982885,0.9642536,0.21195404,-1.429116,-0.14042416,1.2310364,0.7312575,1.1448454,1.6486888,1.5766398,1.3450803,-0.24700817,0.27188876,1.2003701,1.134493,-0.45756453,-0.5051852,0.37154013,0.90912217,-0.5773599,-0.8540112,-0.13679452,-1.0943332,-0.09103054,1.368705,-0.8438905,0
TCGA-A2-A04P-01,-0.4915645,1.0690194,1.6708615,-0.85806537,0.6700261,0.09118742,-0.65174145,0.42781568,-0.60431826,0.0903693,0.33930275,0.33235285,0.027539048,-0.36406898,-0.679078,-0.36497772,1.4007117,-0.5397786,-0.19988948,-1.0194618,-0.7955718,-0.73075485,-0.1914972,-0.029117763,-1.1997396,1.4437412,0.12621301,-0.8568453,0.34740868,-0.20851332,-0.06913565,0.50127065,1
