submitter_id.samples,dna_vae_1,dna_vae_2,dna_vae_3,dna_vae_4,dna_vae_5,dna_vae_6,dna_vae_7,dna_vae_8,dna_vae_9,dna_vae_10,dna_vae_11,dna_vae_12,dna_vae_13,dna_vae_14,dna_vae_15,dna_vae_16,dna_vae_17,dna_vae_18,dna_vae_19,dna_vae_20,dna_vae_21,dna_vae_22,dna_vae_23,dna_vae_24,dna_vae_25,dna_vae_26,dna_vae_27,dna_vae_28,dna_vae_29,dna_vae_30,dna_vae_31,dna_vae_32,label_dna
TCGA-BH-A18M-01,2.5731368,-1.3398495,0.83410996,0.7928865,-1.5173472,-0.047436498,-0.09492556,-1.0830078,-0.58545154,0.3926666,0.23143405,-0.4570685,0.51166445,-0.18124641,1.1772412,-0.97170705,1.0145108,1.0513523,1.1084423,1.5780122,0.67843986,1.2638125,-0.14553547,-0.5017724,-0.8647204,-0.9246011,-1.6213179,-1.0738432,1.5750232,-2.1312785,-0.97714305,-1.2069482,0
TCGA-BH-A18M-11,0.21478096,0.37236968,-1.780386,-1.8348278,-1.0117233,-0.24803889,-0.14867683,0.7162045,1.5139452,0.3006413,0.24791811,0.7460042,0.7541299,-1.5302056,-0.8596201,-0.6486757,-0.19650309,0.3469239,-0.35023588,-1.1555606,-2.00851,-0.7859972,-1.7146621,1.3420813,0.44220868,-0.10760141,1.0907897,-0.38609523,-0.20155165,1.3840754,0.34696013,0.9032772,0
TCGA-BH-A18N-01,0.1411893,-0.06890994,0.28529537,-0.602558,-0.07233297,-0.5066156,1.3921133,-0.8235217,-1.0565262,1.8665551,1.6023558,-0.44053933,1.2502265,-0.2689096,-1.3223722,0.43812263,1.8191885,-0.8131077,-1.0437557,-1.1549339,-0.5825739,0.5858302,1.2100337,-1.5443624,0.19297366,0.5574347,1.0675197,0.7275137,-0.07509795,-0.62577784,0.37516138,0.9743391,1
TCGA-BH-A18N-11,0.16154316,-0.689493,-0.15626404,-0.73960716,-0.31316462,1.1243358,0.26597267,-0.17621034,0.3008364,0.6077655,-2.5461118,-0.5436883,-0.58880776,-0.9815893,-0.95865095,-0.12537545,-0.6187858,0.47014028,-1.0156323,2.1393201,-0.9671993,-0.67074317,1.9540383,0.63371855,0.40874138,1.0429858,-0.5154861,1.9343795,-2.80153,0.592522,0.6825346,-0.15781684,1
TCGA-BH-A18P-01,-0.118763104,0.04795061,-0.16456698,0.08004732,1.5613055,0.8985781,0.82209545,0.9287568,1.3887479,2.3657517,-0.41783953,-1.0298207,0.7315893,-1.3132861,-2.0375135,-0.6943267,-0.129424,-0.8197639,-0.72385824,-0.5102042,-0.8660295,-1.5959507,0.19810495,-0.99513406,-0.33113337,0.68217313,0.5469485,1.0179482,-1.414565,0.7858974,0.65221447,-0.17423758,1
TCGA-BH-A18P-11,0.41357562,0.5921641,0.594519,0.37250197,0.589898,-1.3067682,1.3224959,-1.3433385,0.94159997,1.2959824,-1.7437294,0.83176064,-0.7443842,-0.060943928,0.34603843,0.12115597,2.5500553,0.095256895,0.6751656,1.4606184,-0.23846947,2.1814365,-0.15726504,0.40940616,-0.8530112,-1.4819919,1.3295771,-1.7109324,-1.5832583,-1.4043454,-2.3082309,-2.0507936,1
TCGA-BH-A18Q-01,-0.9269259,-0.65314096,0.21618019,-0.1591126,-0.45245776,0.6977348,-0.86591303,-0.9088972,-0.004902335,-1.7706548,-1.1341558,0.4210985,1.1480211,-0.56544507,-0.8639257,-0.36998218,0.48950037,0.5844623,-0.061673027,1.580107,1.2426858,1.5150722,-0.7853151,-1.2151195,1.2598449,-0.54411364,1.618168,0.0006657727,-0.28264365,-0.39274296,1.9935236,0.6534571,1
TCGA-BH-A18Q-11,0.57466346,2.7228003,0.40312907,1.5405984,0.017711408,-1.4357529,1.0734099,0.39117748,-1.7688397,1.3728993,1.6980541,-0.74348944,1.312476,0.7112577,-0.106853686,-1.0188888,0.16439548,1.30957,0.93594694,-0.5964373,0.7625697,-0.9129015,1.0716215,-0.20360078,1.6171658,0.7144468,-0.21991052,-0.056130797,-0.13569154,-0.684618,-0.16585675,0.6238327,1
TCGA-BH-A18R-01,-0.9703015,0.50682026,0.6475531,-1.8219123,-0.70779324,0.34732828,1.7147846,2.5053053,-0.1791587,0.7896198,0.67577535,0.8142174,0.2710497,0.959335,0.9556351,0.31168255,0.5138692,-0.58408993,0.05961359,0.2737348,0.4342341,0.7018494,0.13938907,-0.27400428,0.4211869,-1.7931699,0.6902683,-1.0743152,-0.4561626,1.1276398,0.36236793,0.7484779,1
TCGA-BH-A18R-11,-0.0944816,0.28960437,1.367374,0.09339194,0.5813543,-0.19115289,-0.60121655,-0.41498017,-1.3377354,-0.284574,0.058589764,-0.049179733,-0.62935174,-0.35968667,1.4601015,-0.04420078,-0.972909,-0.39721286,-0.10337679,0.21927151,0.19387117,-0.087931104,-2.023584,-1.0610853,0.9193976,-0.47028363,-0.5103235,0.97264576,-0.7702171,0.00087073725,-0.9138122,0.5684878,1
TCGA-BH-A18S-01,-0.21899116,-0.030023295,0.15596639,0.76045436,0.6454203,-0.5890614,-0.09194077,-0.6244983,0.6277383,0.37749353,0.70860213,0.58830774,0.6394547,-0.5193461,-0.36721304,-0.29281816,0.9543388,0.8646524,-0.5056552,0.3029968,-0.63002014,-1.5624622,-1.0407121,-0.6538781,-0.7527772,-0.20739713,0.49075168,0.58992827,-1.2638624,-0.16203536,0.747416,0.87885255,0
